created,username_URL,username,username2,State,city,trails,trails_URL,trails_URL3,trails4,trails_URL5,trails6,dist
Mar 3,https://www.trailforks.com/profile/Heiheiharold/,Heiheiharold,Heiheiharold,NV,Las Vegas,"  Step Mom Up,
Kona,
Kona,
Saguaro,
Man with a Van,
Benchmark,
Perma Grin",https://www.trailforks.com/ridelog/view/22440343/achievements/,https://www.trailforks.com/trails/step-mom-up/,Step Mom Up,https://www.trailforks.com/trails/kona-108653/,Kona,10 miles
Mar 2,https://www.trailforks.com/profile/Kbshep86/,Kbshep86,Kbshep86,TX,Missouri City,"  Later Gator,
Grass Connector,
Swamp Thing,
Later Gator,
Bangarang",https://www.trailforks.com/ridelog/view/22435361/achievements/,https://www.trailforks.com/trails/later-gator-335631/,Later Gator,https://www.trailforks.com/trails/grass-connector-242831/,Grass Connector,5 miles
Mar 3,https://www.trailforks.com/profile/gonzajon6998/,gonzajon6998,gonzajon6998,OR,Corvallis,Midge Cramer Path,https://www.trailforks.com/trails/midge-cramer-path/,,,,,8 miles
Mar 2,https://www.trailforks.com/profile/Condor2/,Condor2,Condor2,UT,Park City,"  Rambler,
Matt's Flat,
Matt's Flat,
Matt's Flat,
Matt's Flat,
Rambler,
Cammy's,
Cammy's,
Cammy Connector,
Matt's Flat,
 ... ",https://www.trailforks.com/ridelog/view/22438042/achievements/,https://www.trailforks.com/trails/rambler-11589/,Rambler,https://www.trailforks.com/trails/matt-s-flat/,Matt's Flat,6 miles
Mar 2,https://www.trailforks.com/profile/atenxiaz/,atenxiaz,atenxiaz,IA,Council Buffs,,,,,,,10 miles
Mar 3,https://www.trailforks.com/profile/lilmsmayshine/,lilmsmayshine,lilmsmayshine,CA,Carlsbad,"  Horned Lizard,
Switchbacks",https://www.trailforks.com/ridelog/view/22440517/achievements/,https://www.trailforks.com/trails/horned-lizard/,Horned Lizard,https://www.trailforks.com/trails/switchbacks/,Switchbacks,6 miles
Mar 3,https://www.trailforks.com/profile/AmberAle1/,AmberAle1,AmberAle1,CA,Riverside,,,,,,,9 miles
Mar 2,https://www.trailforks.com/profile/rroswelljr/,rroswelljr,rroswelljr,FL,West Palm Beach,"  Pond Connector,
Pond Loop,
Pond Loop,
Pond Loop,
Pond Loop,
Pinehurst MTB Trail,
Pinehurst MTB Trail,
Truck Stop,
Truck Stop,
Truck Stop,
 ... ",https://www.trailforks.com/ridelog/view/22436939/achievements/,https://www.trailforks.com/trails/pond-connector-381880/,Pond Connector,https://www.trailforks.com/trails/pond-loop-205363/,Pond Loop,17 miles
Mar 2,https://www.trailforks.com/profile/Griordan/,Griordan,Griordan,AZ,Prescott,"  Happy Ending,
Happy Ending,
Side Kick",https://www.trailforks.com/ridelog/view/22439726/achievements/,https://www.trailforks.com/trails/happy-ending-110790/,Happy Ending,https://www.trailforks.com/trails/happy-ending-110790/,Happy Ending,11 miles
Mar 3,https://www.trailforks.com/profile/Deankannier/,Deankannier,Deankannier,CA,Redding,"  Top Of The World Summit From Mary Lake,
Westside to Valparaiso,
Westside Trail Ridge,
RattleSnake",https://www.trailforks.com/ridelog/view/22440755/achievements/,https://www.trailforks.com/trails/top-of-the-world-summit-from-mary-lake/,Top Of The World Summit From Mary Lake,https://www.trailforks.com/trails/westside-to-valparaiso/,Westside to Valparaiso,13 miles
Mar 3,https://www.trailforks.com/profile/Fricker33/,Fricker33,Fricker33,WA,Bellingham,"  Bunny Cutoff,
Ursa Major,
Kaya,
Hop Scotch,
Briar Patch,
Brer Rabbit,
Lost Giants",https://www.trailforks.com/ridelog/view/22440274/achievements/,https://www.trailforks.com/trails/bunny-cutoff/,Bunny Cutoff,https://www.trailforks.com/trails/ursa-major-121640/,Ursa Major,7 miles
Mar 2,https://www.trailforks.com/profile/jchartos/,jchartos,jchartos,AZ,Phoenix,"San Tan, Hedgehog Trail",https://www.trailforks.com/trails/san-tan/,https://www.trailforks.com/trails/hedgehog-trail/,Hedgehog Trail,,,5 miles
Mar 2,https://www.trailforks.com/profile/mikey85051/,mikey85051,mikey85051,TX,San Antonio,"  Mud Creek Loop,
East Mud Creek,
Get Loose,
Dances with Trees,
Blue Loop Cutoff,
Red Trail Connector,
Twisty Trail,
Dam Basin Trail(s),
MA10,
East Mud Creek,
 ... ",https://www.trailforks.com/ridelog/view/22436869/achievements/,https://www.trailforks.com/trails/mud-creek-loop-117988/,Mud Creek Loop,https://www.trailforks.com/trails/east-mud-creek/,East Mud Creek,14 miles
