title_URL,title,ridingarea,distance,descent,climb,DifficultyRating,Coordinates,Local_Popularity
https://www.trailforks.com/trails/hs4-hildreth-schoolhouse-south/,HS4 Hildreth Schoolhouse South,Hildreth Schoolhouse,"1,581 ft",-5 ft,24 ft,"
                     Blue rate
                ","(42.225050, -71.407930)",50
https://www.trailforks.com/trails/hs5-hildreth-schoolhouse-north/,HS5 Hildreth Schoolhouse North,Hildreth Schoolhouse,"2,190 ft",-41 ft,30 ft,"
                     Blue rate
                ","(42.235440, -71.411020)",90
https://www.trailforks.com/trails/hs6-granite-spur/,HS6 Granite Spur,Hildreth Schoolhouse,537 ft,-23 ft,49 ft,"
                     Blue rate
                ","(42.236400, -71.411350)",95
https://www.trailforks.com/trails/hs7-extra-spur/,HS7 Extra Spur,Hildreth Schoolhouse,143 ft,,,"
                     Blue rate
                ","(42.237020, -71.411350)",45
https://www.trailforks.com/trails/hs8-ch3/,HS8 - CH3,Freetown-Fall River SF / SEMASS Bioreserve Trails,"4,908 ft",-67 ft,22 ft,"
                     Blue rate
                ","(41.730730, -71.061990)",75
https://www.trailforks.com/trails/hs8-gas-pipeline/,HS8 Gas Pipeline,Hildreth Schoolhouse,"3,064 ft",-24 ft,38 ft,"
                     Blue rate
                ","(42.233420, -71.414530)",45
https://www.trailforks.com/trails/hs9-connector/,HS9 Connector,Hildreth Schoolhouse,166 ft,,13 ft,"
                     Blue rate
                ","(42.230000, -71.410290)",40
https://www.trailforks.com/trails/ht-overlook-trail/,HT Overlook Trail,Ames Nowell State Park,"1,253 ft",-6 ft,2 ft,"
                     Blue rate
                ","(42.112580, -70.985730)",65
https://www.trailforks.com/trails/hubbard/,Hubbard,Kennedy Park,914 ft,-36 ft,30 ft,"
                     Green rate
                ","(42.382180, -73.284140)",55
https://www.trailforks.com/trails/hubbard-trail/,Hubbard Trail,Weston Forest & Trails,"3,980 ft",,100 ft,"
                     Green rate
                ","(42.332900, -71.277200)",60
https://www.trailforks.com/trails/hubbard-trail-extension/,Hubbard Trail Extension,Weston Forest & Trails,"2,772 ft",-74 ft,56 ft,"
                     Blue rate
                ","(42.332440, -71.276630)",60
https://www.trailforks.com/trails/huck-to-overlook-connector/,Huck to Overlook Connector,Pine Hills,95 ft,,,"
                     Green rate
                ","(41.939480, -70.583200)",15
https://www.trailforks.com/trails/hucker-s-halfpipe/,Hucker's Halfpipe,Mount Pisgah,354 ft,-3 ft,,"
                     Black Diamond rate
                ","(42.356160, -71.659580)",25
https://www.trailforks.com/trails/hucker-s-halfpipe-2/,Hucker's Halfpipe 2,Mount Pisgah,226 ft,-32 ft,,"
                     Black Diamond rate
                ","(42.355420, -71.660820)",30
https://www.trailforks.com/trails/hucker-s-halfpipe-west/,Hucker's Halfpipe West,Mount Pisgah,,,,,,5
https://www.trailforks.com/trails/huckleberry-hill/,Huckleberry Hill,Pine Hills,"1,129 ft",-72 ft,61 ft,"
                     Blue rate
                ","(41.938630, -70.581940)",75
https://www.trailforks.com/trails/huckleberry-lane/,Huckleberry Lane,Pine Hills,"1,043 ft",-22 ft,33 ft,"
                     Blue rate
                ","(41.938600, -70.580750)",75
https://www.trailforks.com/trails/hudson-trail/,Hudson Trail,Marlborough-Sudbury State Forest,1 mile,-90 ft,111 ft,"
                     Blue rate
                ","(42.372190, -71.477870)",40
https://www.trailforks.com/trails/hufflepuff/,Hufflepuff,Potter Hill Trails,"1,470 ft",,48 ft,"
                     Blue rate
                ","(42.210060, -71.727870)",100
https://www.trailforks.com/trails/hull-path/,Hull Path,Stony Brook Reservation,492 ft,-33 ft,,"
                     Green rate
                ","(42.262390, -71.142770)",60
https://www.trailforks.com/trails/humble-ridge/,Humble Ridge,Wrentham State Forest & Conservation Lands,"3,596 ft",-107 ft,107 ft,"
                     Black Diamond rate
                ","(42.035400, -71.335090)",35
https://www.trailforks.com/trails/humpback-rock/,Humpback Rock,Vietnam Trail Network,370 ft,-23 ft,4 ft,"
                     Blue rate
                ","(42.176620, -71.488420)",55
https://www.trailforks.com/trails/humpty-dumpty-91737/,Humpty Dumpty,West Barnstable Conservation Area,"1,250 ft",-9 ft,12 ft,"
                     Green rate
                ","(41.700420, -70.405930)",100
https://www.trailforks.com/trails/humpy-singletrack/,Humpy Singletrack,Higgins Crowell,604 ft,,,"
                     Blue rate
                ","(41.674020, -70.251130)",45
https://www.trailforks.com/trails/hungry-like-the-wolf-314768/,Hungry Like the Wolf,F. Gilbert Hills State Forest,679 ft,-37 ft,18 ft,"
                     Black Diamond rate
                ","(42.054860, -71.280510)",55
https://www.trailforks.com/trails/hunter-trail-243958/,Hunter Trail,Shaw Farm,"2,103 ft",-33 ft,47 ft,"
                     Blue rate
                ","(42.134050, -71.765440)",50
https://www.trailforks.com/trails/hunter-trail/,Hunter Trail,Earl's Trails,"2,773 ft",-24 ft,176 ft,"
                     Green rate
                ","(42.316500, -72.547500)",75
https://www.trailforks.com/trails/hunter-s-trail/,Hunter's Trail,Piggery/Culvert/Manchester Woods,"2,287 ft",-46 ft,65 ft,"
                     Blue rate
                ","(42.585860, -70.803910)",55
https://www.trailforks.com/trails/hunter-s-trail-355864/,Hunter's Trail,Higgins Crowell,"1,122 ft",,5 ft,"
                     Blue rate
                ","(42.585860, -70.803910)",55
https://www.trailforks.com/trails/hunters-path/,Hunters Path,Falmouth,"1,936 ft",-4 ft,41 ft,"
                     Green rate
                ","(41.603090, -70.590240)",5
https://www.trailforks.com/trails/hunting-hill-trail-network-1/,Hunting Hill Trail Network 1,Hunting Hill Trail Network,"1,281 ft",-23 ft,,"
                     Blue rate
                ","(42.613750, -71.663220)",5
https://www.trailforks.com/trails/hunting-hill-trail-network-2/,Hunting Hill Trail Network 2,Hunting Hill Trail Network,"1,635 ft",-45 ft,12 ft,"
                     Blue rate
                ","(42.609550, -71.663590)",70
https://www.trailforks.com/trails/hunting-hill-trail-network-3/,Hunting Hill Trail Network 3,Hunting Hill Trail Network,"1,635 ft",-20 ft,,"
                     Blue rate
                ","(42.611520, -71.664530)",80
https://www.trailforks.com/trails/hunting-hill-trail-network-4/,Hunting Hill Trail Network 4,Hunting Hill Trail Network,"1,635 ft",,,,"(42.613480, -71.663330)",80
https://www.trailforks.com/trails/hunting-hill-trail-network-5/,Hunting Hill Trail Network 5,Hunting Hill Trail Network,665 ft,-4 ft,5 ft,"
                     Blue rate
                ","(42.613750, -71.671910)",95
https://www.trailforks.com/trails/hunting-hill-trail-network-6/,Hunting Hill Trail Network 6,Hunting Hill Trail Network,665 ft,-19 ft,,"
                     Blue rate
                ","(42.610340, -71.665750)",90
https://www.trailforks.com/trails/hunting-hill-trail-network-7/,Hunting Hill Trail Network 7,Hunting Hill Trail Network,"1,567 ft",-9 ft,15 ft,"
                     Blue rate
                ","(42.608880, -71.668730)",90
