title_URL,title,ridingarea,distance,descent,climb,DifficultyRating,Coordinates,Local_Popularity
https://www.trailforks.com/trails/rattlesnake-den/,Rattlesnake Den,West Woods/Dykes Pond,"1,745 ft",-20 ft,17 ft,"
                     Blue rate
                ","(42.597470, -70.747330)",80
https://www.trailforks.com/trails/rattlesnake-hill-climb/,Rattlesnake Hill Climb,Rattlesnake Hill & Interlocken - Sharon,"3,543 ft",,93 ft,"
                     Blue rate
                ","(42.090480, -71.152520)",90
https://www.trailforks.com/trails/rattlesnake-hill-south-face/,Rattlesnake Hill South Face,Rattlesnake Hill & Interlocken - Sharon,"2,290 ft",,122 ft,"
                     Blue rate
                ","(42.086040, -71.144100)",85
https://www.trailforks.com/trails/rattlesnake-hills-secondary-access/,Rattlesnake Hills secondary access,Rattlesnake Hill & Interlocken - Sharon,"2,749 ft",-78 ft,3 ft,"
                     Green rate
                ","(42.086730, -71.149790)",40
https://www.trailforks.com/trails/rattlesnake-trail/,Rattlesnake Trail,Rattlesnake Hill,"2,552 ft",-3 ft,82 ft,"
                     Green rate
                ","(42.440780, -71.566960)",90
https://www.trailforks.com/trails/rattlesnake-trail-2/,Rattlesnake Trail 2,Rattlesnake Hill,"1,070 ft",,41 ft,"
                     Blue rate
                ","(42.438820, -71.574380)",80
https://www.trailforks.com/trails/raven-rookery/,Raven Rookery,Leadmine Mountain Conservation Area,"2,746 ft",-136 ft,14 ft,"
                     Green rate
                ","(42.097410, -72.101530)",70
https://www.trailforks.com/trails/ravenclaw/,Ravenclaw,Potter Hill Trails,"1,555 ft",-4 ft,46 ft,"
                     Blue rate
                ","(42.211980, -71.726330)",100
https://www.trailforks.com/trails/ravenswood-1/,Ravenswood 1,Ravenswood Park Area,"2,664 ft",,23 ft,"
                     Green rate
                ","(42.591350, -70.704260)",75
https://www.trailforks.com/trails/ravenswood-2/,Ravenswood 2,Ravenswood Park Area,223 ft,-3 ft,,"
                     Blue rate
                ","(42.598080, -70.690310)",50
https://www.trailforks.com/trails/ravenswood-3/,Ravenswood 3,Ravenswood Park Area,814 ft,,10 ft,"
                     Blue rate
                ","(42.594930, -70.691140)",60
https://www.trailforks.com/trails/ravenswood-4/,Ravenswood 4,Ravenswood Park Area,"2,398 ft",-34 ft,23 ft,"
                     Blue rate
                ","(42.595310, -70.693390)",60
https://www.trailforks.com/trails/ravenswood-5/,Ravenswood 5,Ravenswood Park Area,"2,011 ft",-7 ft,52 ft,"
                     Blue rate
                ","(42.598500, -70.696660)",65
https://www.trailforks.com/trails/ravenswood-6/,Ravenswood 6,Ravenswood Park Area,732 ft,,6 ft,"
                     Blue rate
                ","(42.604990, -70.687690)",50
https://www.trailforks.com/trails/ravine-flyer/,Ravine Flyer,Wrentham State Forest & Conservation Lands,328 ft,-34 ft,,"
                     Green rate
                ","(42.051880, -71.330480)",25
