trail_name,length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Hiline Trail,"3.1
    mi",VERY DIFFICULT,34.804602,-111.771244,https://www.mtbproject.com/trail/593534/hiline-trail,"Village of Oak Creek (Big Park), AZ",#1,4.7 (123),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,326',695',6%,35%,"4,646'","4,086'",Unknown,Unknown
Slim Shady Trail,"2.6
    mi",INTERMEDIATE/DIFFICULT,34.790166,-111.765576,https://www.mtbproject.com/trail/593708/slim-shady-trail,"Village of Oak Creek (Big Park), AZ",#2,4.4 (112),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,265',264',4%,11%,"4,464'","4,202'",Unknown,Unknown
Mescal,"2.4
    mi",INTERMEDIATE/DIFFICULT,34.906801,-111.824568,https://www.mtbproject.com/trail/4960011/mescal,"West Sedona, AZ",#3,4.6 (63),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,206',166',3%,11%,"4,710'","4,520'",Unknown,Unknown
Chuckwagon,"5.4
    mi",INTERMEDIATE,34.906632,-111.823948,https://www.mtbproject.com/trail/4960774/chuckwagon,"West Sedona, AZ",#4,4.5 (63),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,559',489',4%,13%,"4,679'","4,499'",Unknown,Unknown
Tortolita Preserve Loop,"9.7
    mi",INTERMEDIATE,32.439082,-111.098523,https://www.mtbproject.com/trail/6390787/tortolita-preserve-loop,"Tortolita, AZ",#5,4.2 (66),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,520',520',2%,4%,"2,804'","2,326'",Unknown,Unknown
Lone Cactus Loop,"6.4
    mi",INTERMEDIATE,32.161981,-110.789655,https://www.mtbproject.com/trail/6437294/lone-cactus-loop,"Tanque Verde, AZ",#6,4.3 (62),,,,,277',280',2%,9%,"2,856'","2,793'",Unknown,Unknown
Apache Wash Loop,"6.2
    mi",EASY/INTERMEDIATE,33.771267,-112.048779,https://www.mtbproject.com/trail/7004148/apache-wash-loop,"Cave Creek, AZ",#7,4.1 (59),,,,,159',176',1%,4%,"1,815'","1,704'",Leashed,Unknown
Desperado Loop,"3.6
    mi",EASY/INTERMEDIATE,32.27825,-111.082731,https://www.mtbproject.com/trail/7017541/desperado-loop,"Flowing Wells, AZ",#8,4.7 (47),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,231',175',2%,7%,"2,561'","2,405'",Unknown,Not Allowed
North Loop,"6.8
    mi",EASY/INTERMEDIATE,32.022649,-110.569918,https://www.mtbproject.com/trail/7036398/north-loop,"Vail, AZ",#9,4.6 (43),,,,,466',467',3%,9%,"3,921'","3,712'",No Dogs,Unknown
Bug Springs,"4.6
    mi",DIFFICULT,32.374283,-110.690391,https://www.mtbproject.com/trail/299773/bug-springs,"Tanque Verde, AZ",#10,4.4 (48),Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,599',"1,604'",9%,38%,"6,288'","4,900'",Unknown,Unknown
