trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Thunder Mountain Trail #33098,"8.1
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/1868735/thunder-mountain-trail-33098,"Panguitch, UT",#1,4.7 (87),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,USFS - Dixie National Forest Office,http://www.fs.usda.gov/dixie,689',"1,681'",6%,27%,"8,263'","7,084'",Off-leash,Unknown
Wasatch Crest,"12.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/3654027/wasatch-crest,"Alta, UT",#2,4.8 (110),,,,,"1,084'","2,656'",6%,26%,"9,882'","7,616'",No Dogs,Not Allowed
Captain Ahab,"4.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/648766/captain-ahab,"Moab, UT",#3,4.7 (128),,,,,326',981',6%,23%,"4,898'","4,034'",Leashed,Not Allowed
Wire Mesa Loop,"7.4
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7021693/wire-mesa-loop,"Springdale, UT",#4,4.6 (122),,,,,428',415',2%,12%,"4,502'","4,326'",Unknown,Allowed
Ramblin',"3.3
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000569/ramblin,"Moab, UT",#5,4.7 (92),,,,,195',398',3%,12%,"5,279'","4,971'",Leashed,Not Allowed
Rush,"2.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/5226134/rush,"Alpine, UT",#6,4.7 (93),,,,,47',884',6%,26%,"5,846'","5,008'",No Dogs,Allowed
Bull Run,"5.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/199960/bull-run,"Moab, UT",#7,4.6 (116),,,,,80',719',3%,21%,"5,769'","5,127'",Leashed,Not Allowed
Big Mesa,"3.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7008051/big-mesa,"Moab, UT",#8,4.6 (76),,,,,200',303',3%,17%,"5,395'","5,244'",Leashed,Not Allowed
Getaway,"7.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/199492/getaway,"Moab, UT",#9,4.3 (78),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,133',"1,023'",3%,10%,"6,019'","5,129'",Leashed,Not Allowed
Dino-Flow,"5.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/178718/dino-flow,"Moab, UT",#10,4.1 (82),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,196',285',2%,10%,"4,792'","4,629'",Leashed,Unknown
Pipe Dream,"4.8
    mi",DIFFICULT,https://www.mtbproject.com/trail/827004/pipe-dream,"Moab, UT",#11,3.9 (112),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,399',907',5%,16%,"4,663'","4,083'",Leashed,Not Allowed
LPS,"2.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/157113/lps,"Moab, UT",#12,4.5 (68),,,,,37',532',5%,21%,"7,318'","6,804'",Leashed,Not Allowed
UPS,"2.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/215934/ups,"Moab, UT",#13,4.7 (63),,,,,37',500',5%,16%,"7,807'","7,314'",Leashed,Not Allowed
JEM Trail,"6.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/3999652/jem-trail,"LaVerkin, UT",#14,4.3 (65),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,916',64',3%,17%,"4,320'","3,455'",Unknown,Unknown
