trail_name,length,longitude,latitude,popularity,rating,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,difficulty_difficult,difficulty_easy,difficulty_easy/intermediate,difficulty_intermediate,difficulty_intermediate/difficult,difficulty_very difficult,dog_policy_leashed,dog_policy_no dogs,dog_policy_off-leash,dog_policy_unknown,e_bike_policy_allowed,e_bike_policy_not allowed,e_bike_policy_unknown
hiline trail,0.022398843930635837,0.619677610495021,0.5077268365292689,1.0,0.9400000000000001,0.022962597731915193,0.05773863919581291,0.3157894736842105,0.3571428571428571,0.42934472934472934,0.40298659081674115,0,0,0,0,0,1,0,0,0,1,0,0,1
slim shady trail,0.01878612716763006,0.617100379711288,0.508725040712747,0.9989528795811519,0.8800000000000001,0.01866591533422554,0.021932375176539003,0.21052631578947367,0.11224489795918366,0.4120607787274454,0.4147704185290532,0,0,0,0,1,0,0,0,0,1,0,0,1
mescal,0.017341040462427744,0.6379229976428942,0.498335827376188,0.9979057591623036,0.9199999999999999,0.014510107769247025,0.013790811664035889,0.15789473684210525,0.11224489795918366,0.43542260208926875,0.4470743600162535,0,0,0,0,1,0,0,0,0,1,0,0,1
chuckwagon,0.03901734104046243,0.6378928264041539,0.49844501696577126,0.9968586387434555,0.9,0.03937451574276256,0.04062474038381656,0.21052631578947367,0.13265306122448978,0.43247863247863244,0.4449410808614384,0,0,0,1,0,0,0,0,0,1,0,0,1
tortolita preserve loop,0.07008670520231214,0.19736596159397646,0.6262012395836187,0.9958115183246073,0.8400000000000001,0.0366274565048954,0.043200132923485915,0.10526315789473684,0.04081632653061224,0.25441595441595444,0.22419748069890288,0,0,0,1,0,0,0,0,0,1,0,0,1
lone cactus loop,0.04624277456647399,0.14789566321470726,0.6805966753178829,0.9947643979057592,0.86,0.01951116433049236,0.023261610035723187,0.10526315789473684,0.09183673469387754,0.2593542260208927,0.2716375457131247,0,0,0,1,0,0,0,0,0,1,0,0,1
apache wash loop,0.044797687861271675,0.4351983384038274,0.45884952565047854,0.993717277486911,0.82,0.011199549200535326,0.014621583451026002,0.05263157894736842,0.04081632653061224,0.16049382716049382,0.1610117838277123,0,0,1,0,0,0,1,0,0,0,0,0,1
desperado loop,0.02601156069364162,0.16865293988371732,0.6289824040976342,0.9926701570680628,0.9400000000000001,0.016271043178136227,0.01453850627232699,0.10526315789473684,0.07142857142857142,0.23133903133903133,0.23222267370987404,0,0,1,0,0,0,0,0,0,1,0,1,0
north loop,0.04913294797687861,0.12302099436190517,0.719295050876184,0.9916230366492147,0.9199999999999999,0.032823836021694724,0.03879704245243831,0.15789473684210525,0.09183673469387754,0.36049382716049383,0.3649939049167005,0,0,1,0,0,0,0,1,0,0,0,0,1
bug springs,0.033236994219653176,0.18579752313767983,0.6980782808345651,0.9905759162303664,0.8800000000000001,0.04219201239698528,0.13325579463321424,0.47368421052631576,0.3877551020408163,0.5852801519468185,0.48567655424624134,1,0,0,0,0,0,0,0,0,1,0,0,1
hog heaven,0.007947976878612718,0.62562598625584,0.5101790233766081,0.9895287958115183,0.9,0.008170740297245897,0.01935698263686965,0.3157894736842105,0.2755102040816326,0.4216524216524216,0.4314303128809427,1,0,0,0,0,0,0,0,0,1,0,0,1
llama trail,0.020953757225433526,0.6198093641884537,0.5093910972091997,0.9884816753926702,0.8400000000000001,0.014510107769247025,0.022264683891335048,0.15789473684210525,0.13265306122448978,0.41054131054131054,0.4265542462413653,0,0,0,0,1,0,0,0,0,1,0,0,1
sport loop,0.02167630057803468,0.4169768740132973,0.5199037652268821,0.987434554973822,0.9,0.01394660843840248,0.016615435739802276,0.15789473684210525,0.0510204081632653,0.15716999050332384,0.15247866720845185,0,0,0,1,0,0,0,0,0,1,1,0,0
templeton trail,0.024566473988439304,0.6204584921414638,0.5088595904650681,0.9863874345549738,0.8,0.005916742973867719,0.03323087147960455,0.15789473684210525,0.21428571428571427,0.3961063627730294,0.39181227143437625,0,0,0,0,1,0,0,0,0,1,0,0,1
