trail_name,length,popularity,rating,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,difficulty_difficult,difficulty_easy,difficulty_easy/intermediate,difficulty_intermediate,difficulty_intermediate/difficult,difficulty_very difficult,dog_policy_leashed,dog_policy_no dogs,dog_policy_off-leash,dog_policy_unknown,e_bike_policy_allowed,e_bike_policy_not allowed,e_bike_policy_unknown
Thunder Mountain Trail #33098,0.06516492357200322,1.0,0.9400000000000001,0.05221674876847291,0.14821019220596016,0.30000000000000004,0.4090909090909091,0.6321522761151244,0.5390848427073403,0,0,0,0,1,0,0,0,1,0,0,0,1
Wasatch Crest,0.1005631536604988,0.9989224137931034,0.96,0.0821523304281925,0.2341738670428496,0.30000000000000004,0.3939393939393939,0.8177961242976723,0.6024785510009533,0,0,0,0,1,0,0,1,0,0,0,1,0
Captain Ahab,0.0337892196299276,0.9978448275862069,0.9400000000000001,0.024706328154604017,0.0864926820666549,0.30000000000000004,0.3484848484848485,0.2463020295837633,0.1756434699714013,1,0,0,0,0,0,1,0,0,0,0,1,0
Wire Mesa Loop,0.05953338696701529,0.9967672413793104,0.9199999999999999,0.03243652898825313,0.036589666725445245,0.1,0.18181818181818182,0.20089439284485727,0.2104385128693994,0,0,0,0,1,0,0,0,0,1,1,0,0
Ramblin',0.02654867256637168,0.9956896551724138,0.9400000000000001,0.01477832512315271,0.03509081290777641,0.15000000000000002,0.18181818181818182,0.2899896800825594,0.28729742612011433,0,0,0,0,1,0,1,0,0,0,0,1,0
Rush,0.02252614641995173,0.9946120689655172,0.9400000000000001,0.003561955286093217,0.07794039851877975,0.30000000000000004,0.3939393939393939,0.35500515995872034,0.29170638703527163,0,0,0,0,1,0,0,1,0,0,1,0,0
Bull Run,0.04424778761061947,0.9935344827586207,0.9199999999999999,0.0060629026146267525,0.06339269970022923,0.15000000000000002,0.3181818181818182,0.34617589725948855,0.305886558627264,0,0,0,0,1,0,1,0,0,0,0,1,0
Big Mesa,0.027353177795655673,0.9924568965517241,0.9199999999999999,0.015157256536566882,0.026714865103156408,0.15000000000000002,0.25757575757575757,0.30329090700607725,0.31982840800762624,0,0,0,1,0,0,1,0,0,0,0,1,0
Getaway,0.06355591311343524,0.9913793103448276,0.86,0.010079575596816976,0.09019573267501323,0.15000000000000002,0.15151515151515152,0.3748423345946566,0.3061248808388941,0,0,0,1,0,0,1,0,0,0,0,1,0
Dino-Flow,0.04505229283990346,0.990301724137931,0.82,0.014854111405835545,0.02512784341385999,0.1,0.15151515151515152,0.23414746015365212,0.24654432793136316,0,0,0,1,0,0,1,0,0,0,0,0,1
Pipe Dream,0.038616251005631534,0.9892241379310345,0.78,0.03023872679045093,0.07996825956621408,0.25,0.24242424242424243,0.2193555784887054,0.18148236415633934,1,0,0,0,0,0,1,0,0,0,0,1,0
