length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
3.1,VERY DIFFICULT,34.804602,-111.771244,https://www.mtbproject.com/trail/593534/hiline-trail,Village of Oak Creek (Big Park),1.0,4.7,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,326.0,695.0,6.0,35.0,4646.0,4086.0,Unknown,Unknown
2.6,INTERMEDIATE/DIFFICULT,34.790166,-111.765576,https://www.mtbproject.com/trail/593708/slim-shady-trail,Village of Oak Creek (Big Park),0.9989528795811519,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,265.0,264.0,4.0,11.0,4464.0,4202.0,Unknown,Unknown
2.4,INTERMEDIATE/DIFFICULT,34.906801,-111.824568,https://www.mtbproject.com/trail/4960011/mescal,West Sedona,0.9979057591623036,4.6,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,206.0,166.0,3.0,11.0,4710.0,4520.0,Unknown,Unknown
5.4,INTERMEDIATE,34.906632,-111.823948,https://www.mtbproject.com/trail/4960774/chuckwagon,West Sedona,0.9968586387434555,4.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,559.0,489.0,4.0,13.0,4679.0,4499.0,Unknown,Unknown
9.7,INTERMEDIATE,32.439082,-111.098523,https://www.mtbproject.com/trail/6390787/tortolita-preserve-loop,Tortolita,0.9958115183246073,4.2,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,520.0,520.0,2.0,4.0,2804.0,2326.0,Unknown,Unknown
6.4,INTERMEDIATE,32.161981,-110.78965500000001,https://www.mtbproject.com/trail/6437294/lone-cactus-loop,Tanque Verde,0.9947643979057592,4.3,,,,,277.0,280.0,2.0,9.0,2856.0,2793.0,Unknown,Unknown
6.2,EASY/INTERMEDIATE,33.771267,-112.04877900000001,https://www.mtbproject.com/trail/7004148/apache-wash-loop,Cave Creek,0.993717277486911,4.1,,,,,159.0,176.0,1.0,4.0,1815.0,1704.0,Leashed,Unknown
3.6,EASY/INTERMEDIATE,32.27825,-111.08273100000001,https://www.mtbproject.com/trail/7017541/desperado-loop,Flowing Wells,0.9926701570680628,4.7,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,231.0,175.0,2.0,7.0,2561.0,2405.0,Unknown,Not Allowed
6.8,EASY/INTERMEDIATE,32.022649,-110.56991799999999,https://www.mtbproject.com/trail/7036398/north-loop,Vail,0.9916230366492147,4.6,,,,,466.0,467.0,3.0,9.0,3921.0,3712.0,No Dogs,Unknown
4.6,DIFFICULT,32.374283,-110.69039099999999,https://www.mtbproject.com/trail/299773/bug-springs,Tanque Verde,0.9905759162303664,4.4,Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,599.0,1604.0,9.0,38.0,6288.0,4900.0,Unknown,Unknown
1.1,DIFFICULT,34.837921,-111.75731999999999,https://www.mtbproject.com/trail/7000537/hog-heaven,Sedona,0.9895287958115183,4.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,116.0,233.0,6.0,27.0,4565.0,4366.0,Unknown,Unknown
2.9,INTERMEDIATE/DIFFICULT,34.80534,-111.761794,https://www.mtbproject.com/trail/4923530/llama-trail,Village of Oak Creek (Big Park),0.9884816753926702,4.2,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,206.0,268.0,3.0,13.0,4448.0,4318.0,Unknown,Unknown
3.0,INTERMEDIATE,33.669202,-111.702101,https://www.mtbproject.com/trail/5121292/sport-loop,Fountain Hills,0.987434554973822,4.5,,,,,198.0,200.0,3.0,5.0,1780.0,1620.0,Unknown,Allowed
3.4,INTERMEDIATE/DIFFICULT,34.808976,-111.764812,https://www.mtbproject.com/trail/594263/templeton-trail,Village of Oak Creek (Big Park),0.9863874345549738,4.0,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,84.0,400.0,3.0,21.0,4296.0,3976.0,Unknown,Unknown
2.0,INTERMEDIATE,34.885891,-111.78200600000001,https://www.mtbproject.com/trail/4920585/adobe-jack,Sedona,0.9853403141361257,4.0,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,109.0,240.0,3.0,10.0,4494.0,4341.0,Unknown,Unknown
4.5,EASY,32.119256,-110.78917,https://www.mtbproject.com/trail/7001452/bunny-loop,Vail,0.9842931937172775,4.0,,,,,77.0,82.0,1.0,3.0,2920.0,2871.0,Unknown,Unknown
3.6,INTERMEDIATE,34.885633,-111.86996,https://www.mtbproject.com/trail/1015685/cockscomb,West Sedona,0.9832460732984293,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,296.0,280.0,3.0,12.0,4648.0,4511.0,Unknown,Not Allowed
3.2,VERY DIFFICULT,34.87766,-111.71683300000001,https://www.mtbproject.com/trail/4941561/hangover-trail,Sedona,0.9821989528795811,4.9,,,,,244.0,753.0,6.0,36.0,5224.0,4673.0,Unknown,Unknown
1.5,DIFFICULT,34.84536,-111.756602,https://www.mtbproject.com/trail/4915610/broken-arrow-trail,Sedona,0.981151832460733,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,350.0,64.0,5.0,20.0,4618.0,4282.0,Unknown,Unknown
2.9,INTERMEDIATE,34.907634,-111.849101,https://www.mtbproject.com/trail/1015551/aerie,West Sedona,0.9801047120418848,4.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,262.0,223.0,3.0,12.0,4727.0,4524.0,Unknown,Unknown
13.8,DIFFICULT,33.330335,-112.14416200000001,https://www.mtbproject.com/trail/7020562/national-trail,Laveen,0.9790575916230366,4.8,,,,,1961.0,1729.0,5.0,35.0,2465.0,1259.0,Leashed,Allowed
0.3,DIFFICULT,34.834876,-111.753601,https://www.mtbproject.com/trail/7000535/high-on-the-hog,Sedona,0.9780104712041885,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,29.0,96.0,7.0,18.0,4587.0,4491.0,Unknown,Unknown
0.6,DIFFICULT,34.837493,-111.771451,https://www.mtbproject.com/trail/4916526/pigtail,Sedona,0.9769633507853404,4.7,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,45.0,137.0,6.0,11.0,4379.0,4242.0,Unknown,Unknown
7.0,INTERMEDIATE,35.322299,-111.720525,https://www.mtbproject.com/trail/937006/arizona-trail-aspen-corner-to-fr-418,Flagstaff,0.9759162303664921,4.7,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,291.0,857.0,3.0,9.0,9014.0,8280.0,Leashed,Unknown
7.1,INTERMEDIATE/DIFFICULT,33.797847,-112.085197,https://www.mtbproject.com/trail/6429777/sidewinder-trail,Anthem,0.974869109947644,4.1,,,,,683.0,806.0,4.0,16.0,2082.0,1739.0,Leashed,Unknown
