trail_name,length,difficulty,city,popularity,rating,local_club,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
hiline trail,3.1,VERY DIFFICULT,Village of Oak Creek (Big Park),1,4.7,Verde Valley Cyclists Coalition,326,695,6,35,4646,4086,Unknown,Unknown
slim shady trail,2.6,INTERMEDIATE/DIFFICULT,Village of Oak Creek (Big Park),0.99895288,4.4,Verde Valley Cyclists Coalition,265,264,4,11,4464,4202,Unknown,Unknown
mescal,2.4,INTERMEDIATE/DIFFICULT,West Sedona,0.997905759,4.6,Verde Valley Cyclists Coalition,206,166,3,11,4710,4520,Unknown,Unknown
chuckwagon,5.4,INTERMEDIATE,West Sedona,0.996858639,4.5,Verde Valley Cyclists Coalition,559,489,4,13,4679,4499,Unknown,Unknown
tortolita preserve loop,9.7,INTERMEDIATE,Tortolita,0.995811518,4.2,Sonoran Desert Mountain Bicyclists,520,520,2,4,2804,2326,Unknown,Unknown
lone cactus loop,6.4,INTERMEDIATE,Tanque Verde,0.994764398,4.3,,277,280,2,9,2856,2793,Unknown,Unknown
apache wash loop,6.2,EASY/INTERMEDIATE,Cave Creek,0.993717277,4.1,,159,176,1,4,1815,1704,Leashed,Unknown
desperado loop,3.6,EASY/INTERMEDIATE,Flowing Wells,0.992670157,4.7,Sonoran Desert Mountain Bicyclists,231,175,2,7,2561,2405,Unknown,Not Allowed
north loop,6.8,EASY/INTERMEDIATE,Vail,0.991623037,4.6,,466,467,3,9,3921,3712,No Dogs,Unknown
bug springs,4.6,DIFFICULT,Tanque Verde,0.990575916,4.4,Tucson Off Road Cyclists & Activists (TORCA),599,1604,9,38,6288,4900,Unknown,Unknown
hog heaven,1.1,DIFFICULT,Sedona,0.989528796,4.5,Verde Valley Cyclists Coalition,116,233,6,27,4565,4366,Unknown,Unknown
llama trail,2.9,INTERMEDIATE/DIFFICULT,Village of Oak Creek (Big Park),0.988481675,4.2,Verde Valley Cyclists Coalition,206,268,3,13,4448,4318,Unknown,Unknown
sport loop,3,INTERMEDIATE,Fountain Hills,0.987434555,4.5,,198,200,3,5,1780,1620,Unknown,Allowed
templeton trail,3.4,INTERMEDIATE/DIFFICULT,Village of Oak Creek (Big Park),0.986387435,4,Verde Valley Cyclists Coalition,84,400,3,21,4296,3976,Unknown,Unknown
