trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
hiline trail,3.1,VERY DIFFICULT,https://www.mtbproject.com/trail/593534/hiline-trail,Village of Oak Creek (Big Park),1.0,4.7,Verde Valley Cyclists Coalition,326.0,695.0,6.0,35.0,4646.0,4086.0,Unknown,Unknown
slim shady trail,2.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/593708/slim-shady-trail,Village of Oak Creek (Big Park),0.9989528795811519,4.4,Verde Valley Cyclists Coalition,265.0,264.0,4.0,11.0,4464.0,4202.0,Unknown,Unknown
mescal,2.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4960011/mescal,West Sedona,0.9979057591623036,4.6,Verde Valley Cyclists Coalition,206.0,166.0,3.0,11.0,4710.0,4520.0,Unknown,Unknown
chuckwagon,5.4,INTERMEDIATE,https://www.mtbproject.com/trail/4960774/chuckwagon,West Sedona,0.9968586387434555,4.5,Verde Valley Cyclists Coalition,559.0,489.0,4.0,13.0,4679.0,4499.0,Unknown,Unknown
tortolita preserve loop,9.7,INTERMEDIATE,https://www.mtbproject.com/trail/6390787/tortolita-preserve-loop,Tortolita,0.9958115183246073,4.2,Sonoran Desert Mountain Bicyclists,520.0,520.0,2.0,4.0,2804.0,2326.0,Unknown,Unknown
lone cactus loop,6.4,INTERMEDIATE,https://www.mtbproject.com/trail/6437294/lone-cactus-loop,Tanque Verde,0.9947643979057592,4.3,,277.0,280.0,2.0,9.0,2856.0,2793.0,Unknown,Unknown
apache wash loop,6.2,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7004148/apache-wash-loop,Cave Creek,0.993717277486911,4.1,,159.0,176.0,1.0,4.0,1815.0,1704.0,Leashed,Unknown
desperado loop,3.6,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7017541/desperado-loop,Flowing Wells,0.9926701570680628,4.7,Sonoran Desert Mountain Bicyclists,231.0,175.0,2.0,7.0,2561.0,2405.0,Unknown,Not Allowed
north loop,6.8,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7036398/north-loop,Vail,0.9916230366492147,4.6,,466.0,467.0,3.0,9.0,3921.0,3712.0,No Dogs,Unknown
bug springs,4.6,DIFFICULT,https://www.mtbproject.com/trail/299773/bug-springs,Tanque Verde,0.9905759162303664,4.4,Tucson Off Road Cyclists & Activists (TORCA),599.0,1604.0,9.0,38.0,6288.0,4900.0,Unknown,Unknown
hog heaven,1.1,DIFFICULT,https://www.mtbproject.com/trail/7000537/hog-heaven,Sedona,0.9895287958115183,4.5,Verde Valley Cyclists Coalition,116.0,233.0,6.0,27.0,4565.0,4366.0,Unknown,Unknown
llama trail,2.9,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4923530/llama-trail,Village of Oak Creek (Big Park),0.9884816753926702,4.2,Verde Valley Cyclists Coalition,206.0,268.0,3.0,13.0,4448.0,4318.0,Unknown,Unknown
sport loop,3.0,INTERMEDIATE,https://www.mtbproject.com/trail/5121292/sport-loop,Fountain Hills,0.987434554973822,4.5,,198.0,200.0,3.0,5.0,1780.0,1620.0,Unknown,Allowed
templeton trail,3.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/594263/templeton-trail,Village of Oak Creek (Big Park),0.9863874345549738,4.0,Verde Valley Cyclists Coalition,84.0,400.0,3.0,21.0,4296.0,3976.0,Unknown,Unknown
adobe jack,2.0,INTERMEDIATE,https://www.mtbproject.com/trail/4920585/adobe-jack,Sedona,0.9853403141361257,4.0,Verde Valley Cyclists Coalition,109.0,240.0,3.0,10.0,4494.0,4341.0,Unknown,Unknown
bunny loop,4.5,EASY,https://www.mtbproject.com/trail/7001452/bunny-loop,Vail,0.9842931937172775,4.0,,77.0,82.0,1.0,3.0,2920.0,2871.0,Unknown,Unknown
cockscomb,3.6,INTERMEDIATE,https://www.mtbproject.com/trail/1015685/cockscomb,West Sedona,0.9832460732984293,4.4,Verde Valley Cyclists Coalition,296.0,280.0,3.0,12.0,4648.0,4511.0,Unknown,Not Allowed
hangover trail,3.2,VERY DIFFICULT,https://www.mtbproject.com/trail/4941561/hangover-trail,Sedona,0.9821989528795811,4.9,,244.0,753.0,6.0,36.0,5224.0,4673.0,Unknown,Unknown
broken arrow trail,1.5,DIFFICULT,https://www.mtbproject.com/trail/4915610/broken-arrow-trail,Sedona,0.981151832460733,4.4,Verde Valley Cyclists Coalition,350.0,64.0,5.0,20.0,4618.0,4282.0,Unknown,Unknown
aerie,2.9,INTERMEDIATE,https://www.mtbproject.com/trail/1015551/aerie,West Sedona,0.9801047120418848,4.5,Verde Valley Cyclists Coalition,262.0,223.0,3.0,12.0,4727.0,4524.0,Unknown,Unknown
national trail,13.8,DIFFICULT,https://www.mtbproject.com/trail/7020562/national-trail,Laveen,0.9790575916230366,4.8,,1961.0,1729.0,5.0,35.0,2465.0,1259.0,Leashed,Allowed
high on the hog,0.3,DIFFICULT,https://www.mtbproject.com/trail/7000535/high-on-the-hog,Sedona,0.9780104712041885,4.4,Verde Valley Cyclists Coalition,29.0,96.0,7.0,18.0,4587.0,4491.0,Unknown,Unknown
pigtail,0.6,DIFFICULT,https://www.mtbproject.com/trail/4916526/pigtail,Sedona,0.9769633507853404,4.7,Verde Valley Cyclists Coalition,45.0,137.0,6.0,11.0,4379.0,4242.0,Unknown,Unknown
arizona trail (aspen corner to fr 418),7.0,INTERMEDIATE,https://www.mtbproject.com/trail/937006/arizona-trail-aspen-corner-to-fr-418,Flagstaff,0.9759162303664921,4.7,USFS - Coconino National Forest Office,291.0,857.0,3.0,9.0,9014.0,8280.0,Leashed,Unknown
sidewinder trail,7.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/6429777/sidewinder-trail,Anthem,0.974869109947644,4.1,,683.0,806.0,4.0,16.0,2082.0,1739.0,Leashed,Unknown
sonoran loop competitive track - outer loop,7.1,INTERMEDIATE,https://www.mtbproject.com/trail/7001277/sonoran-loop-competitive-track-outer-loop,Citrus Park,0.9738219895287958,4.2,,518.0,520.0,3.0,15.0,1720.0,1491.0,Leashed,Allowed
long loop,8.0,INTERMEDIATE,https://www.mtbproject.com/trail/5121460/long-loop,Fountain Hills,0.9727748691099476,4.0,,457.0,450.0,2.0,10.0,1751.0,1560.0,Unknown,Allowed
schultz creek trail,4.2,INTERMEDIATE,https://www.mtbproject.com/trail/833543/schultz-creek-trail,Flagstaff,0.9717277486910995,4.3,Flagstaff Biking Organization,873.0,1.0,4.0,14.0,8071.0,7198.0,Unknown,Unknown
little horse trail,1.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4915693/little-horse-trail,Sedona,0.9706806282722513,4.1,Verde Valley Cyclists Coalition,22.0,349.0,5.0,12.0,4569.0,4225.0,Unknown,Not Allowed
hog wash trail,1.3,DIFFICULT,https://www.mtbproject.com/trail/7013468/hog-wash-trail,Sedona,0.9696335078534032,4.1,Verde Valley Cyclists Coalition,90.0,138.0,3.0,15.0,4403.0,4311.0,Unknown,Unknown
geronimo trail,1.9,DIFFICULT,https://www.mtbproject.com/trail/4865778/geronimo-trail,Guadalupe,0.9685863874345549,4.9,City of Phoenix - Trails and Desert Preserves,0.0,1026.0,10.0,31.0,2328.0,1302.0,Unknown,Allowed
canyon of fools,1.2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7011194/canyon-of-fools,West Sedona,0.9675392670157068,4.4,Verde Valley Cyclists Coalition,78.0,256.0,5.0,13.0,4641.0,4463.0,Unknown,Unknown
hawknest trail,11.6,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7009302/hawknest-trail,Carefree,0.9664921465968587,4.5,City of Scottsdale,362.0,662.0,2.0,5.0,2957.0,2388.0,Leashed,Not Allowed
sunset,4.7,DIFFICULT,https://www.mtbproject.com/trail/978181/sunset,Flagstaff,0.9654450261780104,4.6,Flagstaff Biking Organization,1488.0,486.0,8.0,50.0,9140.0,8058.0,Unknown,Unknown
technical loop,2.7,DIFFICULT,https://www.mtbproject.com/trail/5121383/technical-loop,Fountain Hills,0.9643979057591623,4.4,,273.0,285.0,4.0,11.0,1816.0,1618.0,No Dogs,Allowed
grand central,1.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4920687/grand-central,Sedona,0.9633507853403142,4.3,Verde Valley Cyclists Coalition,400.0,188.0,6.0,21.0,4642.0,4242.0,Unknown,Unknown
cathedral rock connector trail,0.3,DIFFICULT,https://www.mtbproject.com/trail/4933774/cathedral-rock-connector-trail,West Sedona,0.962303664921466,4.7,,0.0,107.0,7.0,23.0,4153.0,4045.0,Unknown,Unknown
rail x ranch / honeybee canyon loop,13.7,INTERMEDIATE,https://www.mtbproject.com/trail/7012708/rail-x-ranch-honeybee-canyon-loop,Catalina,0.9612565445026178,4.4,,729.0,725.0,2.0,9.0,3660.0,3061.0,Unknown,Unknown
