trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
thunder mountain trail #33098,8.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/1868735/thunder-mountain-trail-33098,"Panguitch, UT",1.0,4.7,Trail Alliance of Southern Utah (TASU),689.0,1681.0,6.0,27.0,8263.0,7084.0,Off-leash,Unknown
wasatch crest,12.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/3654027/wasatch-crest,"Alta, UT",0.9989224137931034,4.8,,1084.0,2656.0,6.0,26.0,9882.0,7616.0,No Dogs,Not Allowed
captain ahab,4.2,DIFFICULT,https://www.mtbproject.com/trail/648766/captain-ahab,"Moab, UT",0.9978448275862069,4.7,,326.0,981.0,6.0,23.0,4898.0,4034.0,Leashed,Not Allowed
wire mesa loop,7.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7021693/wire-mesa-loop,"Springdale, UT",0.9967672413793104,4.6,,428.0,415.0,2.0,12.0,4502.0,4326.0,Unknown,Allowed
ramblin',3.3,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000569/ramblin,"Moab, UT",0.9956896551724138,4.7,,195.0,398.0,3.0,12.0,5279.0,4971.0,Leashed,Not Allowed
rush,2.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/5226134/rush,"Alpine, UT",0.9946120689655172,4.7,,47.0,884.0,6.0,26.0,5846.0,5008.0,No Dogs,Allowed
bull run,5.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/199960/bull-run,"Moab, UT",0.9935344827586207,4.6,,80.0,719.0,3.0,21.0,5769.0,5127.0,Leashed,Not Allowed
big mesa,3.4,INTERMEDIATE,https://www.mtbproject.com/trail/7008051/big-mesa,"Moab, UT",0.9924568965517241,4.6,,200.0,303.0,3.0,17.0,5395.0,5244.0,Leashed,Not Allowed
getaway,7.9,INTERMEDIATE,https://www.mtbproject.com/trail/199492/getaway,"Moab, UT",0.9913793103448276,4.3,Moab Trail Mix,133.0,1023.0,3.0,10.0,6019.0,5129.0,Leashed,Not Allowed
dino-flow,5.6,INTERMEDIATE,https://www.mtbproject.com/trail/178718/dino-flow,"Moab, UT",0.990301724137931,4.1,Moab Trail Mix,196.0,285.0,2.0,10.0,4792.0,4629.0,Leashed,Unknown
pipe dream,4.8,DIFFICULT,https://www.mtbproject.com/trail/827004/pipe-dream,"Moab, UT",0.9892241379310345,3.9,Moab Trail Mix,399.0,907.0,5.0,16.0,4663.0,4083.0,Leashed,Not Allowed
lps,2.2,DIFFICULT,https://www.mtbproject.com/trail/157113/lps,"Moab, UT",0.9881465517241379,4.5,,37.0,532.0,5.0,21.0,7318.0,6804.0,Leashed,Not Allowed
ups,2.2,DIFFICULT,https://www.mtbproject.com/trail/215934/ups,"Moab, UT",0.9870689655172413,4.7,,37.0,500.0,5.0,16.0,7807.0,7314.0,Leashed,Not Allowed
jem trail,6.9,INTERMEDIATE,https://www.mtbproject.com/trail/3999652/jem-trail,"LaVerkin, UT",0.9859913793103449,4.3,Trail Alliance of Southern Utah (TASU),916.0,64.0,3.0,17.0,4320.0,3455.0,Unknown,Unknown
rocky tops,4.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000570/rocky-tops,"Moab, UT",0.9849137931034483,4.2,Local Club:,372.0,273.0,3.0,10.0,5274.0,5018.0,Leashed,Not Allowed
alaska,3.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4159638/alaska,"Moab, UT",0.9838362068965517,4.4,Moab Trail Mix,296.0,691.0,5.0,14.0,5314.0,4851.0,Leashed,Unknown
north 40,4.2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/173729/north-40,"Moab, UT",0.9827586206896551,4.3,Moab Trail Mix,424.0,415.0,4.0,17.0,4681.0,4509.0,Leashed,Not Allowed
rodeo,9.0,INTERMEDIATE,https://www.mtbproject.com/trail/7026452/rodeo,"Moab, UT",0.9816810344827587,4.2,,533.0,561.0,2.0,11.0,5886.0,5603.0,Leashed,Not Allowed
great escape,3.3,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/195642/great-escape,"Moab, UT",0.9806034482758621,4.4,Moab Trail Mix,52.0,458.0,3.0,12.0,5116.0,4677.0,Leashed,Not Allowed
hymasa trail,3.2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/5271947/hymasa-trail,"Moab, UT",0.9795258620689655,4.3,Moab Trail Mix,755.0,198.0,6.0,15.0,4703.0,3985.0,Leashed,Not Allowed
