trail_name,user_name,,,,,,
Hiline Trail,"Stars









Average: 4.7










Maxx Byerly










Cameron McFarland










Ascanio Pignatelli










Sabrina Katharina










Clayton Burtsfield










Jamey Mossengren










Ryan Dunn 1










Keith Thorne










Megan Sutton










Michael Kellman










Morty Rudegar










John Joseph










Matthew Machu










Jordan White










Andrew Mertens










gonz Gonz










Adrian Fritsch










Christopher Waker










Bobby Boland










Joshua Patterson










Tim Heid










chris allen










Michael Brazinski










Jo FL










Arthur Shune










John Steed










Adam Mattessich










Raúl Gross










Vaughn










Josh Brown










Michael Martori










Andy Murray










Jay Austin










Linda Lee










Cayden Sommer










Lucas C










Matt Chan










Luke Servedio










Cass Robinson










Mickey Fimbres










Mike O'Sullivan










Dave Pearson










Chris Winter










Max Zentner










Jon Linford










Ben Calvert










Travis Troupe










P2 P2










Erich Mccoy










Andrew Hally










Len Holmgren










Steve Peyton










Chuck McQuade










JL Trueba










Andrew Runion










Shane Wright










Super Star










Matt Rettmer










RC LeFevre










Christopher Taylor










Chris Compton










Chris Dye










Mike Gordon










Kiko Giraldo










Louis Dionne










Kevin Doiron










Evan Ely










Aaron Lovato










Brian Hoffmann










John Boyle










Chris Mayfield










Sarah Baker










Amy White










k diff










Tyrel Fenwick










Mike Streed










Jake Richter










Veronica Richter










Nate King










T- Pop










Dieter Schimmelpfennig










Nick Fragedakis










D Mckeever










JJ Squires










Anthony Bracero










Tanner B










B. Miner










Brad McCally










Riley Wicker










Colton Pierce










Nanek Nanor










Bianca Sciarretta










Ben Glover










Patrick Rodriguez










Michael Burton










Jeff Callahan",,,,,,
Slim Shady Trail,"Stars
        
            
                                    
                                                
                                                
                                                
                                                
                    

            Average: 4.4
        
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Chase Rothery
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Katie Goldstein
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Keith Thorne
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Kristof Igloi
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Liana May
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Tim McCabe
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                John Joseph
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Matthew Machu
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Ben Warburton
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Damian Calvert
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Bobby Boland
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Tim Heid
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                collin reed
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                OurOC Adventures
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Joe Konopacki
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Adam Mattessich
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Hillary Hamer
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Raúl Gross
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Kurt Curtis
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                CHRISTOPHER SHIBLEY
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Ryan Dunn 1
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Bruce Conrad
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Linda Lee
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jay Austin
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Asa G
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Steven Harmon
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jeremy Rich-shea
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Lucas C
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Matt Chan
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Cass Robinson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Spencer Schrandt
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Urulu Yazzie
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Dave Pearson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Chuck Riegel
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jeff Smyth
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Nick A
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Pepe Cam
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Grant Horrocks
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Taylor Cullum-Muyres
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Len Holmgren
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Paul Dubya
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Lost Justpastnowhere
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Chuck McQuade
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Ian Brooks
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Andrew Runion
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Shane Wright
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Erik Bouchard
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Eric Beeman
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Drew W.
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Mike Gordon
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Leanne Thompson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Shayne Arthur
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Aaron Lovato
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                John Boyle
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Sarah Baker
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Amy White
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Paul Stahlschmidt
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jake Richter
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Veronica Richter
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Nate King
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Stuart Spigel
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                T- Pop
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                David Stevens
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Nick Fragedakis
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Brad Hagan
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Will Starr
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Tanner B
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Dutch Cowboy
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Kirk Peterson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Brea Witt
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Hollie Potvin
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Sean Espinoza
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Patrick Rodriguez
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Michael Burton
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Tim Kufahl
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Eric Deivernois
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Michael Turner
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Michael Bishop
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                aj cy
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                theiner Heiner
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Mike Childers
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Daniel Lougee
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Bo Radyk
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Steve Mizel
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Phil Schneider
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Alex Johnson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Daniel Slattery
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Roy Rovers
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Mike Sylvester
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Roscoe Herndon
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Oliver C
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Mark Kelleher
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Ben Glover
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Craig Kaufmann
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Tony Ferlisi
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                John Hafkey",,,,,,
Mescal,"Stars
        
            
                                    
                                                
                                                
                                                
                                                
                    

            Average: 4.6
        
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Roger Coss
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jason Miller
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Keith Thorne
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Dylan Yelenich
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Tim Heid
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Itamar Stern
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jo FL
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Seth Peterson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Patrick McAvoy
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Grantland Gamster
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Treven Moore
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                David McNealy
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Gibrann Villalaz
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Francois Dompierre
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Kate Wilson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Joel Lopez
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Robert Peterson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Dave Pearson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Paul Sterling
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Tim Kufahl
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Lindsey M
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Lost Justpastnowhere
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Chuck McQuade
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                JL Trueba
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Andrew Runion
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jennifer Charrette
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Andrew M
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Kristin DeSantis
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                SP Ash
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Christopher Taylor
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                JesseTremaine Tremaine
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jack Slade
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Shane Wright
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Iditarod Guy
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Michael Wilson
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Abe Ferraro
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                James Rudden
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Amy White
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Mike Streed
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Shaun S
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jeremy Rich-shea
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                jahoffman00 Hoffman
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Dutch Cowboy
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Erik Sandhu
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Adam Swan
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Veronica Richter
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Hollie Potvin
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jake Richter
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Christine Tinberg
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Bianca Sciarretta
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Joe Horstmann
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Roscoe Herndon
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Cali Eroom
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Michael Turner
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Oliver C
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Ben Glover
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Paul Stahlschmidt
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Jonathan Heye
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Rich Willis
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Cody M
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Ben Aylsworth
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Guy Turck
            
                    
                
                                    
                                                
                                                
                                                
                                                
                    

                Leslie Kehmeier",,,,,,
