trail_name,user_name
Thunder Mountain Trail #33098,Stars                   Average: 4.7                     MadHamish H                     Matt Lane                     Phil Broadbent                     Jacob Crockett                     Heather Bond                     jarrod s                     Mike Redacted                     Dave Hartwig                     Ascanio Pignatelli                     MR Hall                     Adam Mattessich                     Chris Quarnberg                     Francois Dompierre                     Dwayne Robinson                     Ron Sanderson                     Grant Robbins                     Ben Rakozy                     Jay Simon                     Matze Grubby                     Garrett Sessions                     Hector Ortiz                     Scott Trudeau                     Bryan Smith                     Levi Browning                     Anne Keller                     Jen Nelson                     Oscar De Somer                     Sean Lyons                     Brian Smith                     Leanne Thompson                     Lilly Shoup                     Esteban Acosta                     Alexander Jonathan                     Tim Judkins                     Philippe Cacoye                     Louis Stitt                     Jim McKee                     ottsville CC                     Michael Prochoda                     Nikki Wyman                     Todd Nesvold                     Scott Miller                     Jameson Rice                     Ben Lim                     Andreas Epp                     Chris Tieman                     Greg Reyneke                     Brent Pardue                     Emma Loo                     Michelle Clark-Conley                     Sam Chapman                     jeff flammang                     Jacob Chapman                     Todd Thueson                     Epic Wolff                     Nate Hunter                     George Fitz                     John Gump                     Jeff Johnson 1                     David Darling                     Rick Powelson                     Roscoe Herndon                     Phil Za                     Jared Rodes                     Brian Chatterton                     Braden Bentson                     Jim Thompson                     Matt Koons                     Eric Foltz                     Steffen Hauschild                     Brad H                     christina ting                     Oliver C                     Britt Black                     Wendy Dame                     Brian Flynn                     Britt McDurmon                     C R John                     Alain Lloria                     Hans Allmountaindinger                     Kenny Davis                     Kirk Astroth                     B Flynn                     Steve Schweigerdt                     Tony Ferlisi                     Steven Ross                     Markk Knowles
Wasatch Crest,Stars                   Average: 4.8                     James Gardner                     Wyeth Thomas                     John Schaffer                     Lil Shack Daddy                     Ascanio Pignatelli                     Zach Raney                     Josh Janes                     darin vandecar                     Lisa Darling                     Noah Adamson                     Holly Godsey                     Avery Parker                     Alex Prak                     Max Riser                     Mark Solari                     Brian Bassett                     Seth Greeno                     George Gilpatrick                     Tim McCabe                     Doug Brockmeyer                     Michael Corbin                     Justin Landon                     Parker Stocking                     Warthog1 Ron Hicks                     Mark Hauber                     David Burstedt                     Tracy Carter                     Tyson Clay                     Noah Airmet                     Garrett Carter                     Travis Jewett                     F Felix                     MR Hall                     Spencer Griffin                     James VanDam                     Dave Rader                     Michael Bobbe                     Nathan Gregory                     Matthew Guerin                     Hayley Kemp                     Mitch Sanders                     Jake Si                     Salem Benjamin                     Luke Myhre                     Wesley Rinke                     Spencer Parkin                     Amy McClintock                     Byron Beasley                     Marvin Rios                     Derek Allen                     Sidney Durant                     Adam Knutson                     Aaron Anderstrom                     Julian Love                     Lost Justpastnowhere                     Jason Drobeck                     Ben Alterman                     Sheri Perkes                     Mckinley Olsen                     Sean Ryan                     George Simons                     Jon Fabiszak                     Steep Powder                     Grant Anderson                     Cole Seifers                     Chris Spargen                     James S                     John B Lassig                     Brandon Hays                     tharlow harlow                     Eric Gardner                     Nick Hepler                     daron topel                     Skyler Fredrickson                     Jason Thomas                     Scott Boel                     Austin Coulson                     Kile Baker                     Michael Carter                     Alison Brown                     Porter Templin                     Chuck Smith                     Kamas Wing                     Sam Chapman                     Jacob Crockett                     Matt W                     Pat Hart                     Forrest Gladding                     Adam Zandman-Zeman                     Braden Bentson                     Paul Pearson                     Dan T.                     ben schmidt                     Erik Johnson                     Danny Bradley                     Allen Tanner
Captain Ahab,Stars                   Average: 4.7                     Dave Smith                     Allen Tanner                     Wade S.                     Larry Clinton                     Blake Tobler                     Megan Sutton                     CThornton                     Oscar Lechner                     Mark Parson                     Melanie Watson                     Magnum of the Mountains                     Ananda LastName                     Brian Mckie                     Tim McCabe                     Sudeep Reddy                     Jason Santamaria                     Kate Wilson                     Ascanio Pignatelli                     Tim K                     Lisa Bonita                     Josh Brown                     Matt Castelli                     Mack Przewozny                     Stephan Alm                     Andrew Mahn                     Joel Maier                     Noah Airmet                     Andy Skeen                     Bryan Rowe                     Urulu Yazzie                     Jeff John                     Daniel Cohn                     Sam Freeman                     Kyle Brunick                     Sean Casselberry                     Jasen Vergo                     Bridger Lord                     Sidney Durant                     Alexandra Thurston                     Raúl Gross                     Steve Hoover                     Jeremy Franz                     Andrew Ludbrook                     G.R. Fielding                     Adam Stoll                     Frank Selker                     Jacob Crockett                     Steven Aderholt                     James S                     Joseph Rodriguez                     Elijah Flenner                     John Lindsay                     Kings Run East                     Casey Vavrina                     Chuck McQuade                     Tommy Gun                     Mark Larson                     Cale Thornton                     Jen Uurtamo                     Dave Grossman                     Will Starr                     Manuel Stickler                     Graham Ahner                     Michelle Manke-Horat                     eric shearer                     Emily Conklin                     Eric Ashley                     Clay Johnson                     Pascal Nobecourt                     justin oelke                     Aj Murphy                     Will Bradford                     Brian Smith                     Michael Turner                     atfarley farley                     David Darling                     Caden Keate                     randy bash                     CJones85 Jones                     Trevor Burden                     Ry Zy                     Forrest Gladding                     Matthew Hemmings                     Tre Johnsen                     Jon Wohlers                     Ricky Emerson                     stew doug                     Jake Si                     Justin Nixon                     John Connolly                     Jay Austin                     Jennifer Uurtamo                     Greg Weiss                     lubes 17319                     Tom Robson                     Super Runt
Wire Mesa Loop,Stars                   Average: 4.6                     Drew Urry                     Joseph States                     A B                     Wyeth Thomas                     David Turner                     CCS 414                     Beck M                     batrachoseps                     Tolak Besman                     Kona Pusher                     Brian Bassett                     Dakota Kirby                     Jason Taylor                     Dan Kopf                     Zingaro Monaco                     Dan Dillman                     Matt Lane                     Matthew Cragun                     Greg M                     Henry Faust                     Joey Palmer                     Doug Reid                     Tim Knox                     Ken Nelson                     Raúl Gross                     Evan Cindrich                     Aryeh Lieberman                     Nolan Sundrud                     Scott Payne                     Seth Greeno                     Robert Dunn                     Ryan Stout                     Justin Hill                     Charlie Scharfen                     Jeff Richards                     Brian Bowyer                     tracy bilhorn                     Ben Glover                     Ange Johnson                     Shawn Spencer                     Rami Harasimowicz                     Anne Bo                     Dave Pearson                     Carson Greenhalgh                     Cha Tate                     Andrew Mahn                     Broc Jenkins                     Michael Bobbe                     Monica Esposito                     Laine McNeil                     Taylor Cullum-Muyres                     Jake B                     Rob Norris                     Christian Mannsfeld                     Brian 'woody' Swearingen                     Haley Lane                     Elizabeth Kellerman                     #deeznutzfosho                     Brad Denton                     Dani Dukes                     Ricky Aguayo                     Manu Chao                     Steve Hoover                     K Myers                     Lawson Burnett                     JP Short                     Larry Freedman                     The Slow Old Man                     Kelley Hale                     Justin Boyce                     Xander Mac                     Kimia Golchin                     Chris Spargen                     A Rodriguez                     Abe Ferraro                     Michael Richey                     Courtney Baker                     Joe Fleming                     Tom Pellegrino                     Aaron Best                     Dustin Eells                     Moe Witschard                     Jared Berrett                     Tim W                     Jake Weber                     Jennifer Meyer                     chad lewis                     Chad Lewis                     Joel Hinkhouse                     Marie Boettcher                     Megan Tice                     Matt Phillips                     J R                     Michelle Clark-Conley                     Natalie M                     Dean Brooks
Ramblin',Stars                   Average: 4.7                     Gerald Wing                     Dan 60D5H411                     Andrew Mahn                     Chad Cook                     Will Lawson                     Michael Martori                     C. Seaton                     Nate Moulton                     Thomas Sloan                     Ascanio Pignatelli                     Zach Lentz                     Ryan Dunn 1                     AOSR                     GW Ullrich                     Mack Przewozny                     Tim Bettenhausen                     Tim McCabe                     Jeff Beard                     Joel Maier                     Tim K                     Saxton Hansen                     Chris Seahorn                     Max Bernstein                     Holly Godsey                     Pascal Vienne                     Nick Wilder                     Brian Verhougstraete                     Rob Walker                     Ryan Mann                     Jake Larsen                     Bridger Lord                     Amy Swanson                     Philip Glynn                     Dropper Post                     Linda Lee                     Tom Dancs                     Ben Trefilek                     Kyle Brunick                     Kyle Brunick                     Rock Nams                     Marie-Eve Lepine                     Papa Todd                     Samuel Peccoud                     Frank Wetenkamp                     Mike Zeigler                     Raúl Gross                     Meg Sprocket                     Gary Hauser                     Gosia Lieske                     Aaron Gemmell                     Hayley Smith                     Lisa Martinez                     Bubba Jones                     Jay Holsten                     D B                     Brian Mayfield                     Rick Stockreef                     Ulysses Yarbrough                     Jeff Mabey                     Patrick Pilkington                     A Estrada                     Clark Sperry                     ChadClimb                     Amy White                     Rachel Silverstone                     Dustin Eells                     Andrew Gruber                     Becca Glosser                     Dustan Kraus                     Darin Bell                     Danny Gonzalez                     Tim Williams                     Brandon Russell                     UnWise Owl                     Stephanie Striefel                     Brian Coven                     Ol' Elk Dickens                     atfarley farley                     Bianca Sciarretta                     David Darling                     Matt Nunez                     andy bailey                     Jeff B                     SJ KY                     Matthew G. Thomas                     Xavier Schwartz                     Roscoe Herndon                     Ed Pfromer                     Ethan Meginnes                     J. Bella                     D L                     Robbie the Dog
Rush,Stars                   Average: 4.7                     James Gardner                     Wyeth Thomas                     Cat Sales                     JAMIE POGUE                     Ben Anderson                     Jonas Landvatter                     darin vandecar                     Philip Burks                     Paul Mills                     David Daily                     Brian Campa                     Greg and Heidi Nielsen                     Stephen Thornton                     Marc Sternfield                     Javier Becerra                     Jon Lane                     Raphael Chanut                     Raúl Gross                     Logan Finlay                     Jake Vellinga                     Jake Si                     Brian Bassett                     Robert Stephenson                     Jesse Young                     Mark Hauber                     Chase Moffett                     Preston Harmon                     Jake Barney                     Max Broman                     Tyson Clay                     Max Dunlop                     John Budd                     Noah Airmet                     Jarett Gardner                     Chandler Allen                     Holly Godsey                     Maggie Mcandrews                     Graham Lovelady                     Sheri Perkes                     Mahonry Gustavo                     Matthew Sanchez                     Jay Robbins                     Nathan Gregory                     Zach Medlin                     Tom Fulton                     Alonso Topete                     Kirkwood Donavin                     Brian Hennebry                     Brandon-Nicole Olmstead                     Garrett Carter                     Lincovich Hudson                     Daaave                     Christian Myers                     Chris Spargen                     Alex L.                     Dan T.                     David Lund                     John B Lassig                     Sky G                     Steven Fahrenkrog                     Josh G                     Jack Fecteau                     Arthur Fabert                     CRyanDean                     Paul Jewkes                     Skyler Fredrickson                     Delaney Dangerfield                     Justin E                     Stewart Hudnall                     Brandon Hays                     Derek Russell                     Brett Jerman                     Kamas Wing                     Sam Chapman                     Dallin Seely                     Darin Hunsaker                     Collin McGill                     Bryan Bird                     Darren Perucci                     Garrett Fromm                     Braden Bentson                     Benjamin Boger                     Linda Lee                     atfarley farley                     Aaron Bytendorp                     Daniel Horn                     Will Nickell                     John Connolly                     Dane Bendixen                     Greg Hendricks                     Emily Baehr                     matt barrus                     Mike Tew
Bull Run,Stars                   Average: 4.6                     Larry Clinton                     Jamey Mossengren                     Owen Donnelly                     Emily Schmid                     Wyeth Thomas                     Lost Justpastnowhere                     Tim McCabe                     Morgan Whaley                     akscrambler                     Casey Taylor                     Ascanio Pignatelli                     Raúl Gross                     Jeremy Franz                     Matt Castelli                     Andrew Mahn                     Patrick Burns                     Linda Lee                     Jonathan Rover                     Jake Si                     Drew Lints                     Noah Linford                     Goggles Piasano                     Ryan Robinson                     Steven Mattics                     Stephen Griffiths                     Vance Scott                     Neil Sørensen                     Mike Henrie                     Noah Airmet                     Nick Pataro                     Tom Dancs                     Gary Hauser                     Mack Przewozny                     Christopher Caldwell                     Brendan Edwards                     HS LD                     Lyle Wilson                     Matt Chan                     Shao Hao                     Tom Millhoff                     Drew Koszulinski                     Cami Reyos                     David P                     Hayley Smith                     Mikel Hale                     Andrea Helmig                     Jason Mezey                     Martin Palkovic                     Jay Pee                     Bryce Engen                     Greg Kelderman                     Elijah Flenner                     Rick Olson                     Skyler Holman                     Amy White                     Dan T.                     Casey Vavrina                     Matt Boughton                     Chuck McQuade                     Bruno Lutz                     Mark Larson                     Oliver C                     Jake J                     Cortney Young                     Rachel Silverstone                     Dustin Eells                     Thom Crumrine                     Carlos Davila Jr.                     Shelly Hunert                     J Cohn                     Ryan Fraser                     Ashley Ashley                     Emily Conklin                     Eric Ashley                     Rick Vermeil                     Colton Lock                     Pascal Nobecourt                     RC LeFevre                     Randy Gaulrapp                     Brian Coven                     Adam Stuart                     Matthew Weege                     Mike Anderson                     Sergey Tsibel                     David Darling                     Bianca Sciarretta                     Roscoe Herndon                     Ken DeRose                     Mark Mastalski                     Ry Zy                     Sara Major                     Chris Bingley                     Joel Nystrom                     Bailey Brandon                     Jay Austin                     Ethan Meginnes
Big Mesa,"Stars                   Average: 4.6                     Stephanie Striefel                     Gerald Wing                     Brian Sturdevant                     Chad Cook                     Michael Martori                     C. Seaton                     akscrambler                     Ascanio Pignatelli                     Zach Lentz                     Ryan Dunn 1                     Sterling Watson                     Mack Przewozny                     Patrick Bracken                     Tim McCabe                     Dan 60D5H411                     Jonathan Rover                     Jon Riley                     Pascal Vienne                     Nick Wilder                     Tom Dancs                     Philip Glynn                     Robert Brown                     M C                     Rock Nams                     Christopher Caldwell                     Marie-Eve Lepine                     Jess VanderBoon                     Raúl Gross                     Gary Hauser                     Gosia Lieske                     Meg Sprocket                     Carmen Curtis                     Tom Millhoff                     Hayley Smith                     Jim Bob Pipes                     Bubba Jones                     Jay Holsten                     Reet Singh                     D B                     Clayton Na                     Holly Godsey                     Rick Stockreef                     Patrick Pilkington                     A Estrada                     Clark Sperry                     Craig Champlin                     ChadClimb                     Dan T.                     Richard Geisler                     Rachel Silverstone                     Dustin Eells                     Adam Post                     Katie C                     Pablo Cortez                     ColeG3 Gardner                     Danny Gonzalez                     Kevin Phillips                     UnWise Owl                     Brian Coven                     Ry Zy                     Max Jones                     Gregg Smith                     Tyler Meester                     Bianca Sciarretta                     David Darling                     Roscoe Herndon                     Mark Mastalski                     randy bash                     Jeff Gauvin                     Amy White                     Carlos Aguirre                     Ed Pfromer                     J. Bella                     Hunter Maddox                     Scotty ""Chaco"" Vinas                     Mikhaila Redovian"
Getaway,Stars                   Average: 4.3                     Sarah Mussetter                     Owen Donnelly                     Emily Schmid                     Morgan Whaley                     akscrambler                     Dee F Cee                     Ascanio Pignatelli                     Jennifer Franz                     Jeremy Franz                     CHRISTOPHER SHIBLEY                     Patrick Burns                     Tim McCabe                     Gary Hauser                     Michael Tilden                     Jonathan Rover                     Steven Mattics                     Cara Hubbell                     Noah Airmet                     Mike Hale                     Ashley Bartschi                     Michelle Hoffer                     Nick Pataro                     Tom Dancs                     M C                     Mack Przewozny                     Brittani Neely                     Vinh Nguyen                     Brendan Edwards                     Ryan Harper                     Matt Chan                     Raúl Gross                     Hayley Smith                     Seth Neilson                     Rob McCoy                     John Borstelmann 1                     Troy Maxwell                     Andrea Helmig                     Martin Palkovic                     Jay Pee                     Andy Skeen                     Pauly Badame                     Dan T.                     David Darling                     Jake J                     Rachel Silverstone                     Dustin Eells                     Ashley Ashley                     Eric Ashley                     sha cohen                     Pascal Nobecourt                     Clay Johnson                     UnWise Owl                     Brian Coven                     Mike Anderson                     Sergey Tsibel                     Bianca Sciarretta                     Ken DeRose                     Geoff Harding                     randy bash                     San Juanderer                     Jim Ballantyne                     Roscoe Herndon                     Sara Major                     Student Warren                     ian pope                     Chip Loomis                     Chris Bingley                     Ethan Meginnes                     Hunter Maddox                     John Connolly                     Traci VanSant                     Michael Martori                     Brian Fox                     Markk Knowles                     Garrett Lodewyck                     big cat                     Porscha Doucette                     Leslie Kehmeier
Dino-Flow,Stars                   Average: 4.1                     Stephanie Striefel                     Celeste Cannon                     C. Seaton                     Thomas Checkley                     Tim McCabe                     Chris Frazier                     Charles Strand                     Raúl Gross                     Jay Holsten                     Mack Przewozny                     Bikeheidi Bikeheidi                     Tim Bettenhausen                     Chuck McQuade                     Jackie Gates                     Jared Fehr                     Patrick Csongei                     Christian Shope                     Omar Ramos                     Tom Dancs                     Ben Warburton                     Rock Nams                     R Wantaja                     Brian Young                     Brendan Edwards                     Papa Todd                     Alexandra Thurston                     Tom Millhoff                     Joseph S                     Joe Vareberg                     K Kellar                     Jeffrey Taylor                     Cara Hubbell                     Rick Powelson                     Brian Carlin                     Mike Anderson                     Follow My Lines                     Aly Danielle                     Aaron Gemmell                     Justin Steele                     A Estrada                     Clark Sperry                     Makenzie Mueller                     kol medina                     Evan Ely                     Holly Godsey                     Zephaniah Quinones                     Joe Tank                     Will Bradford                     Joshua Shockley                     Rachel Silverstone                     Dave Grossman                     Nate Hellwarth                     Emily Conklin                     Derek Jensen 1                     Bucky Rauch                     gabe keyte                     Tony Fagan                     Will Honeyfield                     Ry Zy                     Gregg Smith                     Jared Downs                     Jamie Blackburn                     David Darling                     Gosia Lieske                     Jim Ballantyne                     Clint Koehler                     Jeff Gauvin                     Jamie Umbras                     Jeb Brown                     D L                     Brian Flynn                     John Connolly                     B Flynn                     Matt Sands                     Jeff Ruhle                     saracasey casey                     David Mills                     George Squibb                     Porscha Doucette                     Curtis Tripp                     Nick Wilder                     Ted Eliason 1
