created,username_URL,username,prov,city,trails5,trails7,trails9,trails11,trails13,trails15,trails17,dist
"Oct 3, 2020",https://www.trailforks.com/profile/levidesk/,levidesk,ON,Guelph,401,Lunacy,Twisted,Siesta,Knee Wound,Six Sisters,Rock Pit,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/TheNoviceBiker/,TheNoviceBiker,VT,East Burke,Uptown,Herb's Access Road,Herb's,Beat Bog,Sugarhouse Run,Kitchel,Vast (Downtown),3 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Cpolism/,Cpolism,VA,Springfield,Loop 2 Technical,,,,,,,6 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Challis1/,Challis1,ID,Challis,Foothills Trail,Bridge Trail,Playground,Lower Foothills Trail,Round Valley View Trail,,,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/davidl1435/,davidl1435,QC,Québec City,,,,,,,,9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Krueger13/,Krueger13,IN,Lafayette,,,,,,,,6 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Jbarvin/,Jbarvin,CO,Aspen,,,,,,,,18 miles
"Oct 3, 2020",https://www.trailforks.com/profile/nslater/,nslater,NH,Allenstown,Hemlock,Hemlock - Pitch Pine Connector,Bear Hill,Carr Ridge,Cascade Connector,Cascade Connector,Big Bear,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/AidanIsenstadt/,AidanIsenstadt,MD,Ellicott City,Ridge,Ridge Trail,Garrett's Pass,,,,,11 miles
"Oct 3, 2020",https://www.trailforks.com/profile/azogas413/,azogas413,TX,Dallas,White Rock Lake (W),SoPac Trail,,,,,,30 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Cdburden/,Cdburden,AR,Eureka Springs,,,,,,,,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/c-woj/,c-woj,MA,Stow,,,,,,,,18 miles
"Oct 3, 2020",https://www.trailforks.com/profile/dgriff11/,dgriff11,WA,Pullman,,,,,,,,2 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Ranafram/,Ranafram,BC,Cumberland,Sobo no Michi - Climbing Trail - Lower Section,Short Guts,Sobo no Michi - Climbing Trail - Upper Section,Upper Thirsty Beaver,Lower Thirsty Beaver,Vanilla Climb,Slick Rock,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/markwei/,markwei,UT,Ogden,,,,,,,,15 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Z-Free/,Z-Free,ME,Carrabassett Valley,,,,,,,,1 mile
"Oct 3, 2020",https://www.trailforks.com/profile/Blayne26/,Blayne26,MB,Winnipeg,Happy Ending,Happy Ending,Wayne's World,Happy Ending,Happy Ending,Back 40,BMX Track,15 miles
"Oct 3, 2020",https://www.trailforks.com/profile/e658/,e658,CA,Modesto,TRT Connector,Tuolumne River Trail Gateway Park (TRT),TRT Connector,,,,,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/bichaelj96/,bichaelj96,NV,Reno,,,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Jbennett14/,Jbennett14,BC,Prince George,Lowrider,Shady Lane,Park Avenue,Easy Street,Easy Street (Upper),The Kitchen Sink,Lazy Susan,9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/hellochin/,hellochin,BC,North Vancouver,Mountain Highway,Decommisioned Trail,Warden's Climb,Ladies Only,Big Stupid,Bobsled,Floppy Bunny,15 miles
"Oct 3, 2020",https://www.trailforks.com/profile/amak/,amak,BC,North Vancouver,,,,,,,,"1,289 ft"
"Oct 3, 2020",https://www.trailforks.com/profile/hproctor/,hproctor,KY,Covington,Old Montague Road,Sleepy Hollow Trail,Old Montague Road,,,,,7 miles
"Oct 3, 2020",https://www.trailforks.com/profile/isfabros/,isfabros,AB,Fort McMurray,,,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Lbrooke/,Lbrooke,UT,Moab,Jurassic,Instep,UFO,Inside Passage,,,,11 miles
"Oct 3, 2020",https://www.trailforks.com/profile/KraawMojo/,KraawMojo,MB,Winnipeg,,,,,,,,13 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Lockwoj/,Lockwoj,CA,Foothill Ranch,Raptor Trail,Borrego Canyon Trail,Mustard,Water Tank Road (4 Corners to Dreaded),Water Tank Road (4 Corners to Dreaded),Whiting Road,Serrano Cow Trail,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Lberrycustoms/,Lberrycustoms,CA,Incline Village,Upper Tyrolean Jump Line,Lower Tyrolean,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/dd9433/,dd9433,UT,Draper,Lower CC,Rush (Skills),Creek View (Down),Lower Corner Canyon,Lower CC (Down),Lower CC (Down),Lower Corner Canyon,7 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Kjvaughn44/,Kjvaughn44,FL,Fernandina Beach,,,,,,,,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/peisenberg/,peisenberg,CO,Broomfield,,,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/prjohnston/,prjohnston,AZ,Tucson,,,,,,,,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Stave69/,Stave69,AB,Edmonton,Flat Pete,Flatter Pete,Flatter/Logy Bypass,Curvin Murvin,Curvin Murvin,Terwillegar - 7,Golf Course Trail,14 miles
"Oct 3, 2020",https://www.trailforks.com/profile/EliaaG16/,EliaaG16,TX,Houston,,,,,,,,14 miles
"Oct 3, 2020",https://www.trailforks.com/profile/ozy129/,ozy129,UT,Park City,Mid Mountain,Keystone,Keystone,Shadow Lake Loop,Blazing Saddle,Blazing Saddle,9K Trail,13 miles
"Oct 3, 2020",https://www.trailforks.com/profile/SP3NGL3R/,SP3NGL3R,GA,Woodstock,Mosquito Bite,Hamilton Hop,Rock 'N Roll,Chutes & Ladders,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Clutch-Cargo/,Clutch-Cargo,CO,Castle Rock,Juniper Valley,Juniper Valley,Sandstone Meadow Trail Loop,,,,,7 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Oo5HHC/,Oo5HHC,MA,Georgetown,,,,,,,,3 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Dakota-MTB/,Dakota-MTB,SD,Sioux Falls,Legacy Park Singletrack,,,,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/MutleyAdams/,MutleyAdams,OH,Loudonville,,,,,,,,2 miles
"Oct 3, 2020",https://www.trailforks.com/profile/MountainRiderDan/,MountainRiderDan,QC,Bromont,La Coulée Douce,Connecteur Coulée douce - Divine,La traverse,L'intrépide (section 2),L'intrépide (section 3),L'intrépide (section 4),La p'tite vieille,9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/BlueStory/,BlueStory,NJ,Ringwood,Pool Hollow (Yellow) Entrance/Exit Bypass (Unmarked),Cannonball/Ramapo Lake Loop/Shore Dr (Red/Blue/Unmarked),Wanaque Ridge/Cannonball Trail (Orange/Red),Cannonball (Red),Foxcroft Rd Trail (Unmarked),Castle Loop [Middle Section] (White),Castle Loop [Middle Section] (White) Lookout Connector (Unmarked),9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Bamberton/,Bamberton,BC,Kamloops,Coyote,More Speed,High Iron,Crank 'n Cujo,Rock and Roll,Bauble,Hard Rock,9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/TheSav/,TheSav,QC,Bromont,La Coulée Douce,La traverse,L'intrépide (section 2),La p'tite vieille,Piste de Champions,,,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/garrettlandon/,garrettlandon,CA,Del Mar,,,,,,,,46 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Bear5887/,Bear5887,MI,Boyne City,School Forest Loop 1,Loop 2 Access,School Forest Loop 2,Loop 2 Access,Loop 3 Access,Conjunction Junction,Conjunction Junction,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Cheema962000/,Cheema962000,FL,Brooksville,Grey Goose,Goose the Monkey,Monkey Bypass,,,,,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Chaintool/,Chaintool,TX,Cedar Park,,,,,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/kingbob248/,kingbob248,UT,Pleasant Grove,Foothill Trail,Foothill Trail,Valley Vista,,,,,17 miles
"Oct 3, 2020",https://www.trailforks.com/profile/lightguy/,lightguy,ON,Kitchener-Waterloo,Kaitlyn's Switchbacks,Andy's BBQ,Stinky Girl - Blue,Frankenstein,Frankenstein,The Bride,Muddy Paws,11 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Pixmu/,Pixmu,MD,Burtonsville,,,,,,,,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Ironchefjon/,Ironchefjon,ME,Carrabassett Valley,102: Route 27 Connector,205: Meade,206: Crockertown,207: Sargent,211: F.O.R.D,210: Spike,209: The Caboose,7 miles
"Oct 3, 2020",https://www.trailforks.com/profile/hsato7/,hsato7,WA,Fall City,Climb to Flowtron,What's This Called,Derby,Climb to Flowtron,Swartzie's,,,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Greg4cn/,Greg4cn,BC,Revelstoke,Richard Liqueur North,Berm Donor,,,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/LifeFromTheLoam/,LifeFromTheLoam,IL,Carpentersville,Little Monza,Silo Hill,Silo Hill,Little Monza,Corkscrew,Wood's South,Meadow Trail,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/NyDonny1023/,NyDonny1023,NY,Hauppauge,Yellow Blue Dot,Glacier 8 Main Loop,Glacier 8 Main Loop,Motor Parkway Access Trail,Blue Main Loop,Blue Main Loop,Blue Connector,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/djudson/,djudson,CT,Mansfield,Boat Launch to Picnic Area,Nipmuck Trail East Fork Southern Trailhead,Double track cut thru,Water In The Sky,Yellow Trail,Yellow Trail,Down In The Dumps,9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/mvavrek/,mvavrek,AB,Grande Prairie,Lanny,Lanny,,,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/chadmilam/,chadmilam,CO,Eagle,Hockett Gulch,School House Rock,ST sidewalks pump track,ST sidewalks pump track,ST sidewalks pump track,,,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/mycobike/,mycobike,CO,Durango,Bread Express,Skyline,Sugar Connect,Sugar,Cuchillo Sugar Connector,Meadow Option,Rocky Road,15 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Zeus77/,Zeus77,NJ,Galloway,Trail Head Entrance,Jerkins-steps,Snake Run,Snake Run,Snake Run,Enchanted Forest,Old Obadiah's Road,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/astratford01/,astratford01,GA,Winder,Recreational Trail,Deadwood Hill,MM Bypass,Outer Loop - Section 2,Three Step Hill,,,11 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Natcarter74/,Natcarter74,NC,Clemmons,,,,,,,,2 miles
"Oct 3, 2020",https://www.trailforks.com/profile/pressd4time/,pressd4time,NY,Windham,Inside Line,Fun Loops Trail 6,Cranberry Bog Trail,Boomerang,East Gauntlet,West Gauntlet Trail,Lollipop,11 miles
"Oct 3, 2020",https://www.trailforks.com/profile/rwalty/,rwalty,CO,Highlands Ranch,,,,,,,,20 miles
"Oct 3, 2020",https://www.trailforks.com/profile/k2enemy/,k2enemy,BC,Whistler,North Secret Alt Entrance,Out There,North Secret Alt Entrance,,,,,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/martinblostein/,martinblostein,BC,Kelowna,,,,,,,,22 miles
"Oct 3, 2020",https://www.trailforks.com/profile/kermitxc/,kermitxc,TX,Austin,Slaughter Creek Trail,Slaughter Creek Trail,,,,,,15 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Dominici/,Dominici,NC,Hillsborough,Buckeye Loop,Walnut Grove Loop,Springhouse Loop,Conservation Corps,Conservation Corps,Wood Duck Way,Conservation Corps,25 miles
"Oct 3, 2020",https://www.trailforks.com/profile/kchristo94/,kchristo94,CA,Sausalito,Golden Gate Bridge (West),Battery East Road,,,,,,17 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Pawssbike/,Pawssbike,QC,Lac Beauport,SuperG,Montée Ravage,SuperG,,,,,3 miles
"Oct 3, 2020",https://www.trailforks.com/profile/KevinQKyE0x/,KevinQKyE0x,AR,Bentonville,Black Apple Creek,Hammer Down,Hammer Down,Hammer Down,Angus Chute (Gully),Upper Angus Chute,Angus Chute (Gully),9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Meister1961/,Meister1961,MB,Brandon,Shortcut,Two Way,Broken Hoe,TP One,Merglan,Out and Back,Sad Joe,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Jordandef/,Jordandef,MA,Easthampton,,,,,,,,29 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Sbagley9/,Sbagley9,WI,Hudson,,,,,,,,21 miles
"Oct 3, 2020",https://www.trailforks.com/profile/lewi26/,lewi26,BC,Whistler,Valley Trail - Cheakamus Way,Mid-Babylon Access Road,Babylon by Bike (Mid),See Colours and Puke,High Side,HiHi,Tunnel Vision (Upper),10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Ashrider992/,Ashrider992,AB,Edmonton,Cloverdale Access,Birdhouse Trail,Seminary hill,Lower Ewok,Ewok Connector,McAloon R.I.P.,Caddytrack,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/flikx/,flikx,CT,Middlefield,Drainpipe,,,,,,,"4,268 ft"
